post_title;post_name;post_parent;ID;post_content;post_excerpt;post_status;post_password;menu_order;post_date;post_author;comment_status;sku;parent_sku;children;downloadable;virtual;stock;regular_price;sale_price;weight;length;width;height;tax_class;visibility;stock_status;backorders;sold_individually;low_stock_amount;manage_stock;tax_status;upsell_ids;crosssell_ids;purchase_note;sale_price_dates_from;sale_price_dates_to;download_limit;download_expiry;product_url;button_text;images;downloadable_files;product_page_url;tax:product_type;tax:product_visibility;tax:product_cat;tax:product_tag;tax:product_shipping_class;attribute:pa_airco;attribute_data:pa_airco;attribute_default:pa_airco;attribute:pa_brandstof;attribute_data:pa_brandstof;attribute_default:pa_brandstof;attribute:pa_kleur;attribute_data:pa_kleur;attribute_default:pa_kleur;attribute:pa_merk;attribute_data:pa_merk;attribute_default:pa_merk;attribute:pa_transmissie;attribute_data:pa_transmissie;attribute_default:pa_transmissie;attribute:pa_trekhaak;attribute_data:pa_trekhaak;attribute_default:pa_trekhaak
Volvo 244 DL;volvo-244-dl;;21;;Degelijke Zweedese auto met veel comfort;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Volvo-244DL.jpg ! alt :  ! title : Volvo 244DL ! desc :  ! caption : ;;http://localhost/dealer/product/volvo-244-dl/;simple;;Geen categorie;;;nee;0|1|0;;Diesel;0|1|0;;rood;0|1|0;;Volvo;0|1|0;;Handgeschakeld 4-bak;0|1|0;;ja;0|1|0;
Fiat Punto;fiat-punto;;23;;Mooie auto voor gemiddelde gebruik;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Fiat-Punto.jpg ! alt :  ! title : Fiat Punto ! desc :  ! caption : ;;http://localhost/dealer/product/fiat-punto/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;blauw;0|1|0;;Fiat;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Citroën C5;citroen-c5;;25;;luxe reisauto voor grote gezinnen;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Citroen-C4-CAtus.jpg ! alt :  ! title : Citroen C4 CAtus ! desc :  ! caption : ;;http://localhost/dealer/product/citroen-c5/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Citroën;0|1|0;;Automaat;0|1|0;;ja;0|1|0;
Audi A4;audi-a4;;27;;Een snelle bolide voor zakenlui;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Audi-A4.jpg ! alt :  ! title : Audi A4 ! desc :  ! caption : ;;http://localhost/dealer/product/audi-a4/;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;zwart;0|1|0;;Audi;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
BMW 325;bmw-325;;29;;Luxe model voor de snelle gebruikers;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/BMW-3.jpg ! alt :  ! title : BMW 3 ! desc :  ! caption : ;;http://localhost/dealer/product/bmw-325/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;BMW;0|1|0;;Handgeschakeld 6-bak;0|1|0;;ja;0|1|0;
Nissan Almera;nissan-almera;;31;;Mooie gezinsauto, ook goed voor woon-werkverkeeer;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Nissan-almera.webp ! alt :  ! title : Nissan almera ! desc :  ! caption : ;;http://localhost/dealer/product/nissan-almera/;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Nissan;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Audi A3;audi-a3;;35;;Mooie gezinsauto, ook goed voor woon-werkverkeeer;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Audi-A3.jpg ! alt :  ! title : Audi A3 ! desc :  ! caption : ;;http://localhost/dealer/product/audi-a3/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Audi;0|1|0;;Handgeschakeld 4-bak;0|1|0;;ja;0|1|0;
Audi A4;audi-a4-2;;37;;Middenklasser met veel potentie;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Audi-A4.jpg ! alt :  ! title : Audi A4 ! desc :  ! caption : ;;http://localhost/dealer/product/audi-a4-2/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Audi;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Audi Q2;audi-q2;;39;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Audi-Q2-wit.jpg ! alt :  ! title : Audi Q2 wit ! desc :  ! caption : ;;http://localhost/dealer/product/audi-q2/;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Audi;0|1|0;;Automaat;0|1|0;;nee;0|1|0;
BMW 1;bmw-1;;41;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/BMW-1-wit.jpg ! alt :  ! title : BMW 1 wit ! desc :  ! caption : ;;http://localhost/dealer/product/bmw-1/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;BMW;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
